"","Question","Response","Demographic","OctPoll","NovPoll","Difference"
"64","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","White",18,13,-5
"65","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Afr Amer /Black",23,20,-3
"66","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","<$50K",22,17,-5
"67","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","$50K-$100K",15,12,-3
"68","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","$100K+",16,12,-4
"69","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Less than college",17,16,-1
"70","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","College degree",21,13,-8
"71","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Yes",17,15,-2
"72","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","No",19,15,-4
"73","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Total",43,43,0
"74","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","M",38,42,4
"75","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","F",46,45,-1
"76","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Dem",51,48,-3
"77","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Rep",31,32,1
"78","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Ind/ Other",36,38,2
"79","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Perez Williams",57,56,-1
"80","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Lavine",14,28,14
"81","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Nicoletti",41,35,-6
"82","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Walsh",35,36,1
"83","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Under 55",48,47,-1
"84","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","55+",37,39,2
"85","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Lib",52,53,1
"86","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Mod",47,43,-4
"87","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Conserv",29,29,0
"88","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","White",41,41,0
"89","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Afr Amer /Black",51,49,-2
"90","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","<$50K",48,49,1
"91","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","$50K-$100K",37,39,2
"92","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","$100K+",46,40,-6
"93","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Less than college",37,41,4
"94","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","College degree",50,44,-6
"95","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","Yes",47,49,2
"96","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Right track","No",42,41,-1
"97","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Total",49,47,-2
"98","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","M",53,50,-3
"99","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","F",45,44,-1
"100","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Dem",39,43,4
"101","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Rep",64,63,-1
"102","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Ind/ Other",55,46,-9
"103","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Perez Williams",34,36,2
"104","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Lavine",85,70,-15
"105","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Nicoletti",52,53,1
"106","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Walsh",59,55,-4
"107","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Under 55",45,46,1
"108","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","55+",52,49,-3
"109","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Lib",38,36,-2
"110","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Mod",45,50,5
"111","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Conserv",65,64,-1
"112","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","White",51,49,-2
"113","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Afr Amer /Black",40,40,0
"114","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","<$50K",42,41,-1
"115","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","$50K-$100K",57,54,-3
"116","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","$100K+",49,49,0
"117","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Less than college",54,47,-7
"118","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","College degree",41,47,6
"119","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","Yes",47,41,-6
"120","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Wrong direction","No",49,49,0
"121","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Total",9,10,1
"122","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","M",9,8,-1
"123","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","F",9,11,2
"124","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Dem",9,9,0
"125","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Rep",5,4,-1
"126","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Ind/ Other",9,15,6
"127","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Perez Williams",9,8,-1
"128","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Lavine",1,2,1
"129","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Nicoletti",7,12,5
"130","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Walsh",6,9,3
"131","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Under 55",7,7,0
"132","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","55+",11,12,1
"133","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Lib",11,11,0
"134","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Mod",8,7,-1
"135","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Conserv",6,7,1
"136","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","White",9,10,1
"137","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Afr Amer /Black",9,11,2
"138","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","<$50K",10,10,0
"139","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","$50K-$100K",6,6,0
"140","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","$100K+",5,10,5
"141","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Less than college",9,11,2
"142","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","College degree",9,8,-1
"143","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Yes",7,10,3
"144","Q2. Is the City of Syracuse on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","No",9,10,1
"145","Q3. Joe Nicoletti","Favorable","Total",40,53,13
"146","Q3. Joe Nicoletti","Favorable","M",40,53,13
"147","Q3. Joe Nicoletti","Favorable","F",40,52,12
"148","Q3. Joe Nicoletti","Favorable","Dem",42,55,13
"149","Q3. Joe Nicoletti","Favorable","Rep",42,59,17
"150","Q3. Joe Nicoletti","Favorable","Ind/ Other",38,42,4
"151","Q3. Joe Nicoletti","Favorable","Perez Williams",37,43,6
"152","Q3. Joe Nicoletti","Favorable","Lavine",23,43,20
"153","Q3. Joe Nicoletti","Favorable","Nicoletti",86,100,14
"154","Q3. Joe Nicoletti","Favorable","Walsh",42,55,13
"155","Q3. Joe Nicoletti","Favorable","Under 55",34,52,18
"156","Q3. Joe Nicoletti","Favorable","55+",48,54,6
"157","Q3. Joe Nicoletti","Favorable","Lib",33,54,21
"158","Q3. Joe Nicoletti","Favorable","Mod",49,56,7
"159","Q3. Joe Nicoletti","Favorable","Conserv",44,48,4
"160","Q3. Joe Nicoletti","Favorable","White",42,56,14
"161","Q3. Joe Nicoletti","Favorable","Afr Amer /Black",43,47,4
"162","Q3. Joe Nicoletti","Favorable","<$50K",42,60,18
"163","Q3. Joe Nicoletti","Favorable","$50K-$100K",34,46,12
"164","Q3. Joe Nicoletti","Favorable","$100K+",43,56,13
"165","Q3. Joe Nicoletti","Favorable","Less than college",38,53,15
"166","Q3. Joe Nicoletti","Favorable","College degree",42,53,11
"167","Q3. Joe Nicoletti","Favorable","Yes",45,59,14
"168","Q3. Joe Nicoletti","Favorable","No",39,51,12
"169","Q3. Joe Nicoletti","Unfavorable","Total",34,33,-1
"170","Q3. Joe Nicoletti","Unfavorable","M",39,35,-4
"171","Q3. Joe Nicoletti","Unfavorable","F",29,30,1
"172","Q3. Joe Nicoletti","Unfavorable","Dem",30,33,3
"173","Q3. Joe Nicoletti","Unfavorable","Rep",31,31,0
"174","Q3. Joe Nicoletti","Unfavorable","Ind/ Other",41,34,-7
"175","Q3. Joe Nicoletti","Unfavorable","Perez Williams",32,37,5
"176","Q3. Joe Nicoletti","Unfavorable","Lavine",55,37,-18
"177","Q3. Joe Nicoletti","Unfavorable","Nicoletti",1,0,-1
"178","Q3. Joe Nicoletti","Unfavorable","Walsh",47,37,-10
"179","Q3. Joe Nicoletti","Unfavorable","Under 55",30,28,-2
"180","Q3. Joe Nicoletti","Unfavorable","55+",38,36,-2
"181","Q3. Joe Nicoletti","Unfavorable","Lib",37,33,-4
"182","Q3. Joe Nicoletti","Unfavorable","Mod",31,31,0
"183","Q3. Joe Nicoletti","Unfavorable","Conserv",32,34,2
"184","Q3. Joe Nicoletti","Unfavorable","White",35,31,-4
"185","Q3. Joe Nicoletti","Unfavorable","Afr Amer /Black",26,36,10
"186","Q3. Joe Nicoletti","Unfavorable","<$50K",29,25,-4
"187","Q3. Joe Nicoletti","Unfavorable","$50K-$100K",38,35,-3
"188","Q3. Joe Nicoletti","Unfavorable","$100K+",38,38,0
"189","Q3. Joe Nicoletti","Unfavorable","Less than college",35,31,-4
"190","Q3. Joe Nicoletti","Unfavorable","College degree",32,33,1
"191","Q3. Joe Nicoletti","Unfavorable","Yes",30,32,2
"192","Q3. Joe Nicoletti","Unfavorable","No",35,33,-2
"193","Q3. Joe Nicoletti","Don't know/No opinion","Total",26,15,-11
"194","Q3. Joe Nicoletti","Don't know/No opinion","M",21,12,-9
"195","Q3. Joe Nicoletti","Don't know/No opinion","F",31,18,-13
"196","Q3. Joe Nicoletti","Don't know/No opinion","Dem",28,13,-15
"197","Q3. Joe Nicoletti","Don't know/No opinion","Rep",27,11,-16
"198","Q3. Joe Nicoletti","Don't know/No opinion","Ind/ Other",21,24,3
"199","Q3. Joe Nicoletti","Don't know/No opinion","Perez Williams",31,20,-11
"200","Q3. Joe Nicoletti","Don't know/No opinion","Lavine",22,21,-1
"201","Q3. Joe Nicoletti","Don't know/No opinion","Nicoletti",13,0,-13
"202","Q3. Joe Nicoletti","Don't know/No opinion","Walsh",11,8,-3
"203","Q3. Joe Nicoletti","Don't know/No opinion","Under 55",36,20,-16
"204","Q3. Joe Nicoletti","Don't know/No opinion","55+",14,9,-5
"205","Q3. Joe Nicoletti","Don't know/No opinion","Lib",31,13,-18
"206","Q3. Joe Nicoletti","Don't know/No opinion","Mod",19,13,-6
"207","Q3. Joe Nicoletti","Don't know/No opinion","Conserv",24,18,-6
"208","Q3. Joe Nicoletti","Don't know/No opinion","White",22,14,-8
"209","Q3. Joe Nicoletti","Don't know/No opinion","Afr Amer /Black",31,17,-14
"210","Q3. Joe Nicoletti","Don't know/No opinion","<$50K",28,15,-13
"211","Q3. Joe Nicoletti","Don't know/No opinion","$50K-$100K",28,20,-8
"212","Q3. Joe Nicoletti","Don't know/No opinion","$100K+",20,6,-14
"213","Q3. Joe Nicoletti","Don't know/No opinion","Less than college",27,16,-11
"214","Q3. Joe Nicoletti","Don't know/No opinion","College degree",26,13,-13
"215","Q3. Joe Nicoletti","Don't know/No opinion","Yes",24,9,-15
"216","Q3. Joe Nicoletti","Don't know/No opinion","No",26,17,-9
"217","Q4. Juanita Perez Williams ","Favorable","Total",53,51,-2
"218","Q4. Juanita Perez Williams ","Favorable","M",54,51,-3
"219","Q4. Juanita Perez Williams ","Favorable","F",53,51,-2
"220","Q4. Juanita Perez Williams ","Favorable","Dem",61,60,-1
"221","Q4. Juanita Perez Williams ","Favorable","Rep",27,39,12
"222","Q4. Juanita Perez Williams ","Favorable","Ind/ Other",58,43,-15
"223","Q4. Juanita Perez Williams ","Favorable","Perez Williams",84,85,1
"224","Q4. Juanita Perez Williams ","Favorable","Lavine",18,37,19
"225","Q4. Juanita Perez Williams ","Favorable","Nicoletti",40,35,-5
"226","Q4. Juanita Perez Williams ","Favorable","Walsh",43,33,-10
"227","Q4. Juanita Perez Williams ","Favorable","Under 55",52,51,-1
"228","Q4. Juanita Perez Williams ","Favorable","55+",55,51,-4
"229","Q4. Juanita Perez Williams ","Favorable","Lib",68,54,-14
"230","Q4. Juanita Perez Williams ","Favorable","Mod",56,57,1
"231","Q4. Juanita Perez Williams ","Favorable","Conserv",36,40,4
"232","Q4. Juanita Perez Williams ","Favorable","White",51,47,-4
"233","Q4. Juanita Perez Williams ","Favorable","Afr Amer /Black",65,66,1
"234","Q4. Juanita Perez Williams ","Favorable","<$50K",53,57,4
"235","Q4. Juanita Perez Williams ","Favorable","$50K-$100K",53,53,0
"236","Q4. Juanita Perez Williams ","Favorable","$100K+",58,43,-15
"237","Q4. Juanita Perez Williams ","Favorable","Less than college",53,54,1
"238","Q4. Juanita Perez Williams ","Favorable","College degree",54,48,-6
"239","Q4. Juanita Perez Williams ","Favorable","Yes",69,49,-20
"240","Q4. Juanita Perez Williams ","Favorable","No",48,52,4
"241","Q4. Juanita Perez Williams ","Unfavorable","Total",23,32,9
"242","Q4. Juanita Perez Williams ","Unfavorable","M",27,31,4
"243","Q4. Juanita Perez Williams ","Unfavorable","F",19,32,13
"244","Q4. Juanita Perez Williams ","Unfavorable","Dem",19,25,6
"245","Q4. Juanita Perez Williams ","Unfavorable","Rep",36,49,13
"246","Q4. Juanita Perez Williams ","Unfavorable","Ind/ Other",22,32,10
"247","Q4. Juanita Perez Williams ","Unfavorable","Perez Williams",3,6,3
"248","Q4. Juanita Perez Williams ","Unfavorable","Lavine",61,40,-21
"249","Q4. Juanita Perez Williams ","Unfavorable","Nicoletti",23,36,13
"250","Q4. Juanita Perez Williams ","Unfavorable","Walsh",41,56,15
"251","Q4. Juanita Perez Williams ","Unfavorable","Under 55",22,29,7
"252","Q4. Juanita Perez Williams ","Unfavorable","55+",24,35,11
"253","Q4. Juanita Perez Williams ","Unfavorable","Lib",14,31,17
"254","Q4. Juanita Perez Williams ","Unfavorable","Mod",21,31,10
"255","Q4. Juanita Perez Williams ","Unfavorable","Conserv",39,37,-2
"256","Q4. Juanita Perez Williams ","Unfavorable","White",27,39,12
"257","Q4. Juanita Perez Williams ","Unfavorable","Afr Amer /Black",10,9,-1
"258","Q4. Juanita Perez Williams ","Unfavorable","<$50K",20,23,3
"259","Q4. Juanita Perez Williams ","Unfavorable","$50K-$100K",24,31,7
"260","Q4. Juanita Perez Williams ","Unfavorable","$100K+",28,45,17
"261","Q4. Juanita Perez Williams ","Unfavorable","Less than college",21,25,4
"262","Q4. Juanita Perez Williams ","Unfavorable","College degree",26,39,13
"263","Q4. Juanita Perez Williams ","Unfavorable","Yes",18,41,23
"264","Q4. Juanita Perez Williams ","Unfavorable","No",25,29,4
"265","Q4. Juanita Perez Williams ","Don't know/No opinion","Total",24,17,-7
"266","Q4. Juanita Perez Williams ","Don't know/No opinion","M",19,18,-1
"267","Q4. Juanita Perez Williams ","Don't know/No opinion","F",28,17,-11
"268","Q4. Juanita Perez Williams ","Don't know/No opinion","Dem",21,14,-7
"269","Q4. Juanita Perez Williams ","Don't know/No opinion","Rep",36,13,-23
"270","Q4. Juanita Perez Williams ","Don't know/No opinion","Ind/ Other",21,25,4
"271","Q4. Juanita Perez Williams ","Don't know/No opinion","Perez Williams",13,10,-3
"272","Q4. Juanita Perez Williams ","Don't know/No opinion","Lavine",21,24,3
"273","Q4. Juanita Perez Williams ","Don't know/No opinion","Nicoletti",37,29,-8
"274","Q4. Juanita Perez Williams ","Don't know/No opinion","Walsh",16,12,-4
"275","Q4. Juanita Perez Williams ","Don't know/No opinion","Under 55",27,20,-7
"276","Q4. Juanita Perez Williams ","Don't know/No opinion","55+",20,14,-6
"277","Q4. Juanita Perez Williams ","Don't know/No opinion","Lib",18,15,-3
"278","Q4. Juanita Perez Williams ","Don't know/No opinion","Mod",23,11,-12
"279","Q4. Juanita Perez Williams ","Don't know/No opinion","Conserv",25,22,-3
"280","Q4. Juanita Perez Williams ","Don't know/No opinion","White",22,14,-8
"281","Q4. Juanita Perez Williams ","Don't know/No opinion","Afr Amer /Black",25,25,0
"282","Q4. Juanita Perez Williams ","Don't know/No opinion","<$50K",28,20,-8
"283","Q4. Juanita Perez Williams ","Don't know/No opinion","$50K-$100K",23,16,-7
"284","Q4. Juanita Perez Williams ","Don't know/No opinion","$100K+",14,12,-2
"285","Q4. Juanita Perez Williams ","Don't know/No opinion","Less than college",27,21,-6
"286","Q4. Juanita Perez Williams ","Don't know/No opinion","College degree",20,13,-7
"287","Q4. Juanita Perez Williams ","Don't know/No opinion","Yes",13,10,-3
"288","Q4. Juanita Perez Williams ","Don't know/No opinion","No",28,19,-9
"289","Q5. Laura Lavine","Favorable","Total",17,26,9
"290","Q5. Laura Lavine","Favorable","M",23,33,10
"291","Q5. Laura Lavine","Favorable","F",13,20,7
"292","Q5. Laura Lavine","Favorable","Dem",11,21,10
"293","Q5. Laura Lavine","Favorable","Rep",35,47,12
"294","Q5. Laura Lavine","Favorable","Ind/ Other",20,21,1
"295","Q5. Laura Lavine","Favorable","Perez Williams",11,25,14
"296","Q5. Laura Lavine","Favorable","Lavine",58,80,22
"297","Q5. Laura Lavine","Favorable","Nicoletti",18,27,9
"298","Q5. Laura Lavine","Favorable","Walsh",19,21,2
"299","Q5. Laura Lavine","Favorable","Under 55",12,28,16
"300","Q5. Laura Lavine","Favorable","55+",24,25,1
"301","Q5. Laura Lavine","Favorable","Lib",8,18,10
"302","Q5. Laura Lavine","Favorable","Mod",17,26,9
"303","Q5. Laura Lavine","Favorable","Conserv",27,42,15
"304","Q5. Laura Lavine","Favorable","White",20,29,9
"305","Q5. Laura Lavine","Favorable","Afr Amer /Black",14,21,7
"306","Q5. Laura Lavine","Favorable","<$50K",14,25,11
"307","Q5. Laura Lavine","Favorable","$50K-$100K",19,31,12
"308","Q5. Laura Lavine","Favorable","$100K+",20,25,5
"309","Q5. Laura Lavine","Favorable","Less than college",18,27,9
"310","Q5. Laura Lavine","Favorable","College degree",16,26,10
"311","Q5. Laura Lavine","Favorable","Yes",10,19,9
"312","Q5. Laura Lavine","Favorable","No",20,29,9
"313","Q5. Laura Lavine","Unfavorable","Total",27,38,11
"314","Q5. Laura Lavine","Unfavorable","M",28,39,11
"315","Q5. Laura Lavine","Unfavorable","F",27,37,10
"316","Q5. Laura Lavine","Unfavorable","Dem",30,41,11
"317","Q5. Laura Lavine","Unfavorable","Rep",20,30,10
"318","Q5. Laura Lavine","Unfavorable","Ind/ Other",29,40,11
"319","Q5. Laura Lavine","Unfavorable","Perez Williams",26,39,13
"320","Q5. Laura Lavine","Unfavorable","Lavine",14,8,-6
"321","Q5. Laura Lavine","Unfavorable","Nicoletti",16,20,4
"322","Q5. Laura Lavine","Unfavorable","Walsh",41,49,8
